path_id,entry_point_id,target_asset_id,hop_sequence,hop_count,path_probability,normalized_score,priority_label,generated_at,explanations,traverses
AP-0001,TP-EXT-PL-188AC1-AUTO-ING-01,SYS-DA1-2232,TP-EXT-PL-188AC1-AUTO-ING-01>EXT-PL-188AC1>SYS-DA1-2232,1,0.343,1,High,2026-05-20T05:30:42.805Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA1-2232
AP-0002,TP-EXT-PL-188AC1-AUTO-INT-01,SYS-DA1-2232,TP-EXT-PL-188AC1-AUTO-INT-01>EXT-PL-188AC1>SYS-DA1-2232,1,0.343,1,High,2026-05-20T05:30:42.81Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA1-2232
AP-0003,TP-EXT-PL-3F1A61-AUTO-ING-01,SYS-DA4-3B2A,TP-EXT-PL-3F1A61-AUTO-ING-01>EXT-PL-3F1A61>SYS-DA4-3B2A,1,0.343,1,High,2026-05-20T05:30:42.816Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA4-3B2A
AP-0004,TP-EXT-PL-3F1A61-AUTO-ING-01,SYS-DA5-8760,TP-EXT-PL-3F1A61-AUTO-ING-01>EXT-PL-3F1A61>SYS-DA5-8760,1,0.343,1,High,2026-05-20T05:30:42.816Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA5-8760
AP-0005,TP-EXT-PL-3F1A61-AUTO-INT-01,SYS-DA4-3B2A,TP-EXT-PL-3F1A61-AUTO-INT-01>EXT-PL-3F1A61>SYS-DA4-3B2A,1,0.343,1,High,2026-05-20T05:30:42.817Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA4-3B2A
AP-0006,TP-EXT-PL-3F1A61-AUTO-INT-01,SYS-DA5-8760,TP-EXT-PL-3F1A61-AUTO-INT-01>EXT-PL-3F1A61>SYS-DA5-8760,1,0.343,1,High,2026-05-20T05:30:42.817Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA5-8760
AP-0007,TP-EXT-PL-783AFD-AUTO-ING-01,SYS-DA1-2232,TP-EXT-PL-783AFD-AUTO-ING-01>EXT-PL-783AFD>SYS-DA1-2232,1,0.343,1,High,2026-05-20T05:30:42.832Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA1-2232
AP-0008,TP-EXT-PL-783AFD-AUTO-INT-01,SYS-DA1-2232,TP-EXT-PL-783AFD-AUTO-INT-01>EXT-PL-783AFD>SYS-DA1-2232,1,0.343,1,High,2026-05-20T05:30:42.836Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA1-2232
AP-0009,TP-EXT-PL-A2E704-AUTO-ING-01,SYS-DA10-DEF7,TP-EXT-PL-A2E704-AUTO-ING-01>EXT-PL-A2E704>SYS-DA10-DEF7,1,0.343,1,High,2026-05-20T05:30:42.84Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA10-DEF7
AP-0010,TP-EXT-PL-A2E704-AUTO-ING-01,SYS-DA11-E135,TP-EXT-PL-A2E704-AUTO-ING-01>EXT-PL-A2E704>SYS-DA11-E135,1,0.343,1,High,2026-05-20T05:30:42.842Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA11-E135
AP-0011,TP-EXT-PL-A2E704-AUTO-ING-01,SYS-DA12-F55A,TP-EXT-PL-A2E704-AUTO-ING-01>EXT-PL-A2E704>SYS-DA12-F55A,1,0.343,1,High,2026-05-20T05:30:42.843Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA12-F55A
AP-0012,TP-EXT-PL-A2E704-AUTO-ING-01,SYS-DA13-917E,TP-EXT-PL-A2E704-AUTO-ING-01>EXT-PL-A2E704>SYS-DA13-917E,1,0.343,1,High,2026-05-20T05:30:42.844Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA13-917E
AP-0013,TP-EXT-PL-A2E704-AUTO-ING-01,SYS-DA14-9849,TP-EXT-PL-A2E704-AUTO-ING-01>EXT-PL-A2E704>SYS-DA14-9849,1,0.343,1,High,2026-05-20T05:30:42.844Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA14-9849
AP-0014,TP-EXT-PL-A2E704-AUTO-ING-01,SYS-DA15-5D9A,TP-EXT-PL-A2E704-AUTO-ING-01>EXT-PL-A2E704>SYS-DA15-5D9A,1,0.343,1,High,2026-05-20T05:30:42.845Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA15-5D9A
AP-0015,TP-EXT-PL-A2E704-AUTO-ING-01,SYS-DA16-7F94,TP-EXT-PL-A2E704-AUTO-ING-01>EXT-PL-A2E704>SYS-DA16-7F94,1,0.343,1,High,2026-05-20T05:30:42.846Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA16-7F94
AP-0016,TP-EXT-PL-A2E704-AUTO-ING-01,SYS-DA19-ABC8,TP-EXT-PL-A2E704-AUTO-ING-01>EXT-PL-A2E704>SYS-DA19-ABC8,1,0.343,1,High,2026-05-20T05:30:42.847Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA19-ABC8
AP-0017,TP-EXT-PL-A2E704-AUTO-ING-01,SYS-DA20-D69E,TP-EXT-PL-A2E704-AUTO-ING-01>EXT-PL-A2E704>SYS-DA20-D69E,1,0.343,1,High,2026-05-20T05:30:42.848Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA20-D69E
AP-0018,TP-EXT-PL-A2E704-AUTO-ING-01,SYS-DA21-FA93,TP-EXT-PL-A2E704-AUTO-ING-01>EXT-PL-A2E704>SYS-DA21-FA93,1,0.343,1,High,2026-05-20T05:30:42.848Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA21-FA93
AP-0019,TP-EXT-PL-A2E704-AUTO-ING-01,SYS-DA22-A9EB,TP-EXT-PL-A2E704-AUTO-ING-01>EXT-PL-A2E704>SYS-DA22-A9EB,1,0.343,1,High,2026-05-20T05:30:42.848Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA22-A9EB
AP-0020,TP-EXT-PL-A2E704-AUTO-ING-01,SYS-DA23-906B,TP-EXT-PL-A2E704-AUTO-ING-01>EXT-PL-A2E704>SYS-DA23-906B,1,0.343,1,High,2026-05-20T05:30:42.85Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA23-906B
AP-0021,TP-EXT-PL-A2E704-AUTO-ING-01,SYS-DA24-5F96,TP-EXT-PL-A2E704-AUTO-ING-01>EXT-PL-A2E704>SYS-DA24-5F96,1,0.343,1,High,2026-05-20T05:30:42.851Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA24-5F96
AP-0022,TP-EXT-PL-A2E704-AUTO-ING-01,SYS-DA25-F605,TP-EXT-PL-A2E704-AUTO-ING-01>EXT-PL-A2E704>SYS-DA25-F605,1,0.343,1,High,2026-05-20T05:30:42.852Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA25-F605
AP-0023,TP-EXT-PL-A2E704-AUTO-ING-01,SYS-DA26-3233,TP-EXT-PL-A2E704-AUTO-ING-01>EXT-PL-A2E704>SYS-DA26-3233,1,0.343,1,High,2026-05-20T05:30:42.853Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA26-3233
AP-0024,TP-EXT-PL-A2E704-AUTO-ING-01,SYS-DA27-ECA1,TP-EXT-PL-A2E704-AUTO-ING-01>EXT-PL-A2E704>SYS-DA27-ECA1,1,0.343,1,High,2026-05-20T05:30:42.854Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA27-ECA1
AP-0025,TP-EXT-PL-A2E704-AUTO-ING-01,SYS-DA28-6B3D,TP-EXT-PL-A2E704-AUTO-ING-01>EXT-PL-A2E704>SYS-DA28-6B3D,1,0.343,1,High,2026-05-20T05:30:42.855Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA28-6B3D
AP-0026,TP-EXT-PL-A2E704-AUTO-ING-01,SYS-DA29-9521,TP-EXT-PL-A2E704-AUTO-ING-01>EXT-PL-A2E704>SYS-DA29-9521,1,0.343,1,High,2026-05-20T05:30:42.855Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA29-9521
AP-0027,TP-EXT-PL-A2E704-AUTO-ING-01,SYS-DA7-62ED,TP-EXT-PL-A2E704-AUTO-ING-01>EXT-PL-A2E704>SYS-DA7-62ED,1,0.343,1,High,2026-05-20T05:30:42.856Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA7-62ED
AP-0028,TP-EXT-PL-A2E704-AUTO-ING-01,SYS-DA8-77F8,TP-EXT-PL-A2E704-AUTO-ING-01>EXT-PL-A2E704>SYS-DA8-77F8,1,0.343,1,High,2026-05-20T05:30:42.857Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA8-77F8
AP-0029,TP-EXT-PL-A2E704-AUTO-ING-01,SYS-DA9-228C,TP-EXT-PL-A2E704-AUTO-ING-01>EXT-PL-A2E704>SYS-DA9-228C,1,0.343,1,High,2026-05-20T05:30:42.857Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA9-228C
AP-0030,TP-EXT-PL-A2E704-AUTO-INT-01,SYS-DA10-DEF7,TP-EXT-PL-A2E704-AUTO-INT-01>EXT-PL-A2E704>SYS-DA10-DEF7,1,0.343,1,High,2026-05-20T05:30:42.864Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA10-DEF7
AP-0031,TP-EXT-PL-A2E704-AUTO-INT-01,SYS-DA11-E135,TP-EXT-PL-A2E704-AUTO-INT-01>EXT-PL-A2E704>SYS-DA11-E135,1,0.343,1,High,2026-05-20T05:30:42.865Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA11-E135
AP-0032,TP-EXT-PL-A2E704-AUTO-INT-01,SYS-DA12-F55A,TP-EXT-PL-A2E704-AUTO-INT-01>EXT-PL-A2E704>SYS-DA12-F55A,1,0.343,1,High,2026-05-20T05:30:42.866Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA12-F55A
AP-0033,TP-EXT-PL-A2E704-AUTO-INT-01,SYS-DA13-917E,TP-EXT-PL-A2E704-AUTO-INT-01>EXT-PL-A2E704>SYS-DA13-917E,1,0.343,1,High,2026-05-20T05:30:42.866Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA13-917E
AP-0034,TP-EXT-PL-A2E704-AUTO-INT-01,SYS-DA14-9849,TP-EXT-PL-A2E704-AUTO-INT-01>EXT-PL-A2E704>SYS-DA14-9849,1,0.343,1,High,2026-05-20T05:30:42.867Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA14-9849
AP-0035,TP-EXT-PL-A2E704-AUTO-INT-01,SYS-DA15-5D9A,TP-EXT-PL-A2E704-AUTO-INT-01>EXT-PL-A2E704>SYS-DA15-5D9A,1,0.343,1,High,2026-05-20T05:30:42.868Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA15-5D9A
