path_id,entry_point_id,target_asset_id,hop_sequence,hop_count,path_probability,normalized_score,priority_label,generated_at,explanations,traverses
AP-0001,TP-EXT-PL-188AC1-AUTO-ING-01,SYS-DA1-2232,TP-EXT-PL-188AC1-AUTO-ING-01>EXT-PL-188AC1>SYS-DA1-2232,1,0.343,1,High,2026-05-20T06:10:38.686Z,entry_likelihood_value(High)=0.7 || attack_success_factor(Medium)=0.7 || source_weight(external)=0.7,"{'hop': 1, 'edge_id': 'E-EXT-PL-188AC1-SYS-DA1-2232-01', 'asset_id': 'SYS-DA1-2232', 'edge_factor': 1}"
AP-0002,TP-EXT-PL-188AC1-AUTO-INT-01,SYS-DA1-2232,TP-EXT-PL-188AC1-AUTO-INT-01>EXT-PL-188AC1>SYS-DA1-2232,1,0.343,1,High,2026-05-20T06:10:38.686Z,entry_likelihood_value(High)=0.7 || attack_success_factor(Medium)=0.7 || source_weight(external)=0.7,"{'hop': 1, 'edge_id': 'E-EXT-PL-188AC1-SYS-DA1-2232-01', 'asset_id': 'SYS-DA1-2232', 'edge_factor': 1}"
AP-0003,TP-EXT-PL-3F1A61-AUTO-ING-01,SYS-DA4-3B2A,TP-EXT-PL-3F1A61-AUTO-ING-01>EXT-PL-3F1A61>SYS-DA4-3B2A,1,0.343,1,High,2026-05-20T06:10:38.686Z,entry_likelihood_value(High)=0.7 || attack_success_factor(Medium)=0.7 || source_weight(external)=0.7,"{'hop': 1, 'edge_id': 'E-EXT-PL-3F1A61-SYS-DA4-3B2A-01', 'asset_id': 'SYS-DA4-3B2A', 'edge_factor': 1}"
AP-0004,TP-EXT-PL-3F1A61-AUTO-ING-01,SYS-DA5-8760,TP-EXT-PL-3F1A61-AUTO-ING-01>EXT-PL-3F1A61>SYS-DA5-8760,1,0.343,1,High,2026-05-20T06:10:38.686Z,entry_likelihood_value(High)=0.7 || attack_success_factor(Medium)=0.7 || source_weight(external)=0.7,"{'hop': 1, 'edge_id': 'E-EXT-PL-3F1A61-SYS-DA5-8760-01', 'asset_id': 'SYS-DA5-8760', 'edge_factor': 1}"
AP-0005,TP-EXT-PL-3F1A61-AUTO-INT-01,SYS-DA4-3B2A,TP-EXT-PL-3F1A61-AUTO-INT-01>EXT-PL-3F1A61>SYS-DA4-3B2A,1,0.343,1,High,2026-05-20T06:10:38.686Z,entry_likelihood_value(High)=0.7 || attack_success_factor(Medium)=0.7 || source_weight(external)=0.7,"{'hop': 1, 'edge_id': 'E-EXT-PL-3F1A61-SYS-DA4-3B2A-01', 'asset_id': 'SYS-DA4-3B2A', 'edge_factor': 1}"
AP-0006,TP-EXT-PL-3F1A61-AUTO-INT-01,SYS-DA5-8760,TP-EXT-PL-3F1A61-AUTO-INT-01>EXT-PL-3F1A61>SYS-DA5-8760,1,0.343,1,High,2026-05-20T06:10:38.686Z,entry_likelihood_value(High)=0.7 || attack_success_factor(Medium)=0.7 || source_weight(external)=0.7,"{'hop': 1, 'edge_id': 'E-EXT-PL-3F1A61-SYS-DA5-8760-01', 'asset_id': 'SYS-DA5-8760', 'edge_factor': 1}"
AP-0007,TP-EXT-PL-783AFD-AUTO-ING-01,SYS-DA1-2232,TP-EXT-PL-783AFD-AUTO-ING-01>EXT-PL-783AFD>SYS-DA1-2232,1,0.343,1,High,2026-05-20T06:10:38.686Z,entry_likelihood_value(High)=0.7 || attack_success_factor(Medium)=0.7 || source_weight(external)=0.7,"{'hop': 1, 'edge_id': 'E-EXT-PL-783AFD-SYS-DA1-2232-01', 'asset_id': 'SYS-DA1-2232', 'edge_factor': 1}"
AP-0008,TP-EXT-PL-783AFD-AUTO-INT-01,SYS-DA1-2232,TP-EXT-PL-783AFD-AUTO-INT-01>EXT-PL-783AFD>SYS-DA1-2232,1,0.343,1,High,2026-05-20T06:10:38.686Z,entry_likelihood_value(High)=0.7 || attack_success_factor(Medium)=0.7 || source_weight(external)=0.7,"{'hop': 1, 'edge_id': 'E-EXT-PL-783AFD-SYS-DA1-2232-01', 'asset_id': 'SYS-DA1-2232', 'edge_factor': 1}"
AP-0009,TP-EXT-PL-A2E704-AUTO-ING-01,SYS-DA10-DEF7,TP-EXT-PL-A2E704-AUTO-ING-01>EXT-PL-A2E704>SYS-DA10-DEF7,1,0.343,1,High,2026-05-20T06:10:38.686Z,entry_likelihood_value(High)=0.7 || attack_success_factor(Medium)=0.7 || source_weight(external)=0.7,"{'hop': 1, 'edge_id': 'E-EXT-PL-A2E704-SYS-DA10-DEF7-01', 'asset_id': 'SYS-DA10-DEF7', 'edge_factor': 1}"
AP-0010,TP-EXT-PL-A2E704-AUTO-ING-01,SYS-DA11-E135,TP-EXT-PL-A2E704-AUTO-ING-01>EXT-PL-A2E704>SYS-DA11-E135,1,0.343,1,High,2026-05-20T06:10:38.686Z,entry_likelihood_value(High)=0.7 || attack_success_factor(Medium)=0.7 || source_weight(external)=0.7,"{'hop': 1, 'edge_id': 'E-EXT-PL-A2E704-SYS-DA11-E135-01', 'asset_id': 'SYS-DA11-E135', 'edge_factor': 1}"
