SHEETS: 4.2 信任边界汇总 || 4.3 边界数据流分析 || 4.5 功能传播路径

===== 4.2 信任边界汇总 (4 rows) =====
信任边界 | 边界名称 | 边界说明 | 对应接口(BI) | 相关威胁主体(TA)
SB-01 | 外部网络与通信边界 | 系统与外部网络、云平台、通信基础设施及操控终端之间的数据交换边界。 | BI01、BI02、BI26 | TA-E-01、TA-E-02、TA-I-01
SB-02 | 开放环境输入边界 | 系统接收来自开放环境的导航、感知和探测信息的边界。 | BI04、BI05、BI06、BI07、BI08、BI09 | TA-E-03、TA-E-04
SB-03 | 维护与物理接入边界 | 系统软件加载、参数配置、调试维护和设备接入边界。 | BI03、BI10、BI11、BI12、BI13、BI14、BI15、BI16、BI17、BI18、BI19、BI20、BI21、BI22、BI23、BI24、BI25 | TA-E-05、TA-I-02、TA-I-03、TA-I-04

===== 4.3 边界数据流分析 (11 rows) =====
信任边界 | 数据流类型 | 典型接口(BI) | 关联BDF | 关联功能(F) | 是否进入内部传播
SB-01 | ALERT | BI26 | BDF56 |  | 是
SB-01 | DATA | BI26 | BDF45、BDF57 | F7、F8 | 是
SB-01 | STATE | BI26 | BDF46、BDF47、BDF48、BDF49、BDF50、BDF51、BDF52、BDF53、BDF54、BDF55 | F7 | 是
SB-02 | DATA | BI08 | BDF05、BDF06、BDF07 | F8 | 是
SB-02 | SENSOR | BI04、BI05、BI06 | BDF01、BDF02、BDF03、BDF04 | F13、F4 | 是
SB-03 | ALERT | BI13 | BDF13 |  | 是
SB-03 | CONFIG | BI10、BI11、BI12、BI16、BI17、BI18、BI20、BI22 | BDF21、BDF22、BDF24、BDF29、BDF31、BDF35、BDF37、BDF42、BDF44 | F1、F11、F13、F2、F3、F8 | 是
SB-03 | DATA | BI10、BI11、BI13、BI16、BI17、BI20、BI22 | BDF08、BDF09、BDF14、BDF15、BDF16、BDF17、BDF18、BDF19、BDF32、BDF38、BDF39、BDF41 | F10、F11 | 是
SB-03 | LOAD | BI10、BI11、BI12、BI13、BI14、BI15、BI16、BI17、BI18、BI20、BI22 | BDF20、BDF23、BDF25、BDF26、BDF27、BDF28、BDF30、BDF33、BDF34、BDF36、BDF40、BDF43 | F1、F11、F4、F5、F9 | 是
SB-03 | STATE | BI10、BI12、BI13 | BDF10、BDF11、BDF12 |  | 是

===== 4.5 功能传播路径 (21 rows) =====
FP编号 | 数据类型 | 入口BI | 关联BDF | 关联SDF | 系统传播路径 | 影响功能
FP01 | ALERT | BI13、BI26 | BDF13、BDF56 | SDF03、SDF24、SDF47、SDF48、SDF51、SDF67 | 地面维护设备 → PACKS → IMS → DLS → RCS | F5、F7、F10
FP02 | CONFIG | BI18、BI20 | BDF35、BDF37 | 无对应SDF | 地面维护设备 → NAVS | 
FP03 | CONFIG | BI12 | BDF24 | 无对应SDF | 地面维护设备 → EPS | F1、F11
FP04 | CONFIG | BI16 | BDF29 | 无对应SDF | 地面维护设备 → DAAS | F11、F13
FP05 | CONFIG | BI22 | BDF42、BDF44 | SDF02、SDF50、SDF90、SDF91、SDF95 | 地面维护设备 → RCS → DLS → IMS → FCS | F2、F3、F5
FP06 | CONFIG | BI10 | BDF21 | SDF90、SDF91、SDF95 | 地面维护设备 → IMS → FCS | F2、F3、F5、F11
FP07 | CONFIG | BI11 | BDF22 | SDF50、SDF90、SDF91、SDF95 | 地面维护设备 → DLS → IMS → FCS | F2、F3、F5、F8、F11
FP08 | CONFIG | BI17 | BDF31 | 无对应SDF | 地面维护设备 → AVCS | F8、F11
FP09 | DATA | BI13 | BDF14 | 无对应SDF | 地面维护设备 → PACKS | 
FP10 | DATA | BI11、BI17、BI20、BI22 | BDF08、BDF16、BDF17、BDF19、BDF39 | SDF09、SDF10、SDF20、SDF21、SDF22、SDF23、SDF27、SDF28、SDF29、SDF30、SDF42、SDF43、SDF44、SDF45、SDF46、SDF55、SDF56、SDF71、SDF73、SDF75、SDF81、SDF89、SDF94、SDF96 | 地面维护设备 → AVCS → DLS → NAVS → IMS → DAAS | F2、F3、F4、F7、F8、F10、F11、F13
FP11 | DATA | BI08、BI10、BI16、BI17、BI20、BI22、BI26 | BDF05、BDF06、BDF07、BDF09、BDF15、BDF18、BDF32、BDF38、BDF41、BDF45、BDF57 | SDF09、SDF10、SDF20、SDF21、SDF22、SDF23、SDF27、SDF28、SDF29、SDF30、SDF42、SDF43、SDF44、SDF45、SDF46、SDF55、SDF56、SDF71、SDF73、SDF75、SDF81、SDF89、SDF94、SDF96 | 开放环境 → AVCS → DLS → NAVS → IMS → DAAS | F2、F3、F4、F7、F8、F10、F13
FP12 | LOAD | BI11、BI12、BI14、BI15、BI16、BI17、BI22 | BDF23、BDF25、BDF27、BDF28、BDF30、BDF33、BDF43 | 无对应SDF | 地面维护设备 → AVCS | 
FP13 | LOAD | BI13 | BDF26 | 无对应SDF | 地面维护设备 → PACKS | F1、F9、F11
FP14 | LOAD | BI10、BI22 | BDF20、BDF40 | 无对应SDF | 地面维护设备 → IMS | F11
FP15 | LOAD | BI18 | BDF34 | 无对应SDF | 地面维护设备 → NAVS | F4、F11
FP16 | LOAD | BI20 | BDF36 | 无对应SDF | 地面维护设备 → PES | F5、F11
FP17 | SENSOR | BI05、BI06 | BDF02、BDF04 | 无对应SDF | 开放环境 → DAAS | 
FP18 | SENSOR | BI06 | BDF03 | 无对应SDF | 开放环境 → DAAS | F13
FP19 | SENSOR | BI04 | BDF01 | 无对应SDF | GNSS → NAVS | F4
FP20 | STATE | BI10、BI12、BI13、BI26 | BDF10、BDF11、BDF12、BDF46、BDF47、BDF48、BDF49、BDF50、BDF51、BDF52、BDF53、BDF54、BDF55 | SDF01、SDF11、SDF12、SDF13、SDF14、SDF15、SDF16、SDF17、SDF18、SDF19、SDF31、SDF32、SDF33、SDF34、SDF35、SDF36、SDF37、SDF38、SDF39、SDF40、SDF41、SDF49、SDF60、SDF62、SDF64、SDF66、SDF76、SDF84、SDF85、SDF87、SDF93、SDF97 | 操控员 → RCS → DLS → IMS → HVDS → PACKS | F5、F7、F8、F9、F10
